"rid","us_elevation_mean"
701297581,NA
701297635,NA
701297789,NA
701298517,NA
701298555,NA
701298657,NA
701298706,NA
701298771,NA
701298772,NA
701298803,NA
701298972,NA
701299145,NA
701299232,NA
701299259,1296.59825428576
701299289,NA
701299368,NA
701299369,NA
701299406,NA
701299416,NA
701299418,1296.59825428576
701299422,NA
701299423,NA
701299425,NA
701299426,NA
701299436,NA
701299449,NA
701299462,NA
701299476,NA
701299495,NA
701299508,NA
701299513,NA
701299518,NA
701299542,NA
701299554,NA
701299580,NA
701293740,1466.91054313099
701293805,1468.33035681425
701294074,1517.43593049221
701294173,1510.82496528431
701294188,1503.52932891115
701294280,1499.28081415354
701294321,1499.28081415354
701294461,NA
701294586,NA
701295059,NA
701295603,NA
701297124,NA
701297340,NA
701298274,1071.11247950015
701298334,1035.69640108656
701298459,1034.88610214124
701298489,1129.87384039306
701298504,1129.87384039306
701298506,1130.00648531121
701298507,1034.62035874517
701298022,1317.56932466869
701298063,1293.36346497303
701298098,1273.12043801651
701298127,1276.00114539639
701298682,1274.20862467537
701298751,1280.21686823064
701298894,1276.55178907721
701298931,1282.48169449318
701298935,1283.55251829738
701295596,1216.25356143429
701295601,1218.54915119771
701295673,1229.79127063917
701295762,1120.10377358491
701295768,1229.79127063917
701295769,1120.10377358491
701295807,1215.18113653759
701296374,1213.84896232826
701296689,1213.84896232826
701297129,1213.84896232826
701297384,1205.07043114086
701299027,NA
701299128,NA
701299181,NA
701299253,NA
701299256,NA
701299264,1548.07779475497
701299293,NA
701299302,1548.07779475497
701299359,NA
701299456,NA
701299457,NA
701299479,NA
701299519,NA
701299530,NA
701299690,1548.07779475497
701299702,1553.11196660663
701299708,1564.70330419998
701299746,1567.05711947263
701299748,1579.46879727287
701299752,1571.71884540176
701299755,1586.38309886309
701299769,1591.62867843707
701299774,1591.62867843707
701299783,1567.05711947263
701300402,1591.62867843707
701300816,1608.46234542543
701301007,1599.22608395364
701301073,1605.78861735291
701301394,1605.78983308042
701298238,1296.88345864662
701298441,1296.88345864662
701298718,1260.53462241372
701298802,1260.53462241372
701298880,1260.53462241372
701298925,NA
701298947,NA
701298996,NA
701299056,NA
701299061,NA
701299078,NA
701299081,NA
701299130,NA
701299164,NA
701299180,NA
701299201,NA
701299203,NA
701299208,NA
701292175,NA
701292197,NA
701292239,NA
701292280,NA
701292305,NA
701292314,NA
701292401,NA
701292513,NA
701292537,NA
701292892,NA
701292977,NA
701293058,NA
701293072,NA
701293074,NA
701293076,NA
701293210,NA
701293248,NA
701293298,NA
701293398,NA
701293429,NA
701293505,NA
701293821,NA
701293826,NA
701293847,NA
701293867,NA
701293875,NA
701293891,NA
701293904,NA
701293911,NA
701293934,NA
701293953,NA
701293955,NA
701293959,NA
701293961,NA
701293965,NA
701293980,NA
701294103,NA
701294144,NA
701294177,NA
701294181,NA
701294195,NA
701294226,NA
701294246,NA
701294319,NA
701291490,NA
701291546,NA
701291623,NA
701291766,NA
701291830,NA
701291900,NA
701291961,NA
701291999,NA
701292015,NA
701292033,NA
701292150,NA
701292162,NA
701292165,NA
701292170,NA
701292172,1607.14206128134
701292186,1559.45132530826
